Timestamp, RF13, RF12, RF11, RF10, MF9, MF8, MF7, MF6, MF5, FF4, FF3, FF2, FF1

17159635820100,1,3,5,1,10,2,1,1,1,1,1,1,1
17159635830000,1,2,4,1,25,12,1,1,1,1,1,1,1
17159635830100,1,23,52,2,60,38,5,9,1,1,1,1,1
17159635840000,2,79,118,18,87,57,6,14,1,1,1,1,1
17159635840100,16,138,174,48,118,73,9,17,1,2,1,1,1
17159635850000,6,110,143,20,110,64,5,7,1,2,1,1,1
17159635850100,5,88,123,15,89,50,2,3,1,1,1,1,1
17159635860000,9,79,113,15,68,37,2,2,1,1,1,1,1
17159635860100,17,76,108,18,55,28,1,2,1,1,1,1,1
17159635870000,18,84,116,23,62,33,2,3,1,1,1,1,1
17159635870100,17,83,117,23,62,33,2,3,1,1,1,1,1
17159635880000,16,83,117,23,63,35,2,3,1,1,1,1,1
17159635880100,13,85,120,24,71,38,2,4,1,1,1,1,1
17159635890000,7,84,118,20,75,43,3,4,1,1,1,1,1
17159635890100,3,91,128,19,94,56,5,7,1,1,1,1,1
17159635900000,3,92,130,18,98,60,5,8,1,1,1,1,1
17159635900100,2,88,127,13,100,62,6,9,1,1,1,1,1
17159635910000,1,86,127,10,105,66,8,10,1,2,1,1,1
17159635910100,1,89,130,13,105,66,8,10,1,2,1,1,1
17159635920000,2,92,131,14,104,65,7,9,1,2,1,1,1
17159635920100,2,89,128,16,95,58,5,6,1,1,1,1,1
17159635930000,4,82,121,18,76,44,3,3,1,1,1,1,1
17159635930100,9,81,117,18,68,37,2,2,1,1,1,1,1
17159635940000,12,81,117,20,66,36,2,2,1,1,1,1,1
17159635940100,13,81,118,20,65,36,2,2,1,1,1,1,1
17159635950000,13,76,114,20,62,36,2,2,1,1,1,1,1
17159635950100,12,74,113,19,60,34,2,2,1,1,1,1,1
17159635960000,5,74,113,18,68,36,2,3,1,1,1,1,1
17159635960100,3,76,117,16,83,48,4,5,1,1,1,1,1
17159635970000,2,82,119,15,90,53,4,6,1,1,1,1,1
17159635970100,1,76,118,9,101,62,7,8,1,2,1,1,1
17159635980000,1,64,111,3,106,65,8,11,1,2,1,1,1
17159635980100,1,45,94,1,107,64,9,10,1,2,1,1,1
17159635990000,1,11,28,1,102,54,8,4,1,2,1,1,1
17159635990100,1,1,1,1,102,36,5,1,1,15,2,1,1
17159636000000,1,1,1,1,13,2,1,1,1,1,1,1,1
17159636000100,43,150,160,9,120,63,6,8,1,1,1,1,1
17159636010000,1,110,118,1,285,118,32,8,1,97,2,1,1
17159636010100,1,1,1,1,209,35,2,1,1,30,2,1,1
17159636020000,1,12,22,1,17,9,1,1,1,1,1,1,1
17159636020100,16,46,108,48,39,28,8,16,1,1,1,1,1
17159636030000,76,33,137,94,18,30,28,53,1,1,1,1,1
17159636030100,97,31,136,100,12,22,25,56,2,1,1,1,1
17159636040000,37,10,89,52,10,9,11,31,1,1,1,1,1
17159636040100,1,1,4,1,7,1,2,7,1,1,1,1,1
17159636050000,1,1,1,1,6,1,1,2,1,1,1,1,1
17159636050100,1,4,3,1,15,5,1,1,1,1,1,1,1
17159636060000,90,66,94,48,19,26,11,48,2,1,1,1,3
17159636060100,76,92,111,36,53,45,6,24,1,1,1,1,1
17159636070000,68,51,80,17,24,27,5,20,1,1,1,1,1
17159636070100,79,79,100,27,30,32,3,20,1,1,1,1,1
17159636080000,41,82,102,27,48,42,6,21,1,1,1,1,1
17159636080100,2,57,82,3,82,62,10,26,1,1,1,1,1
17159636090000,1,1,1,1,31,16,2,2,1,1,1,1,2
17159636090100,1,1,1,1,11,1,1,1,1,1,1,1,1
17159636100000,1,1,1,1,12,4,1,1,1,1,1,1,1
17159636100100,1,26,76,17,36,38,7,33,1,1,1,1,2
17159636110000,11,104,160,56,96,75,23,48,1,1,1,1,1
17159636110100,35,102,170,76,61,65,20,53,1,1,1,1,1
17159636120000,1,12,97,28,40,57,41,92,6,1,1,1,10
17159636120100,1,1,1,1,4,1,1,1,1,1,1,1,1
17159636130000,1,1,1,1,6,1,1,1,1,1,1,1,1
17159636130100,99,103,155,47,48,27,2,15,1,1,1,1,1
17159636140000,1,1,4,1,128,89,74,71,2,42,4,17,18
17159636140100,1,1,1,1,4,1,1,1,1,1,1,1,1
17159636150000,1,3,1,1,9,1,1,1,1,1,1,1,1
17159636150100,1,64,114,1,157,96,30,37,1,15,2,1,2
17159636160000,1,1,1,1,69,44,39,48,1,41,6,80,25
17159636160100,1,1,1,1,6,1,1,1,1,1,1,1,1
17159636170000,9,20,4,1,16,3,1,1,1,1,1,1,1
17159636170100,1,39,79,1,172,108,43,50,1,19,3,1,6
17159636180000,1,1,1,1,50,25,6,6,1,6,2,2,12
17159636180100,1,6,17,1,20,10,1,1,1,1,1,1,1
17159636190000,2,73,116,16,96,44,3,10,1,1,1,1,1
17159636190100,1,79,126,13,105,60,6,18,1,1,1,1,1
17159636200000,1,81,131,1,177,93,28,38,1,11,2,1,1
17159636200100,1,45,86,1,241,126,53,57,1,69,3,1,2
17159636210000,1,1,1,1,84,30,5,1,1,20,4,3,2
17159636210100,1,1,1,1,11,3,1,1,1,1,1,1,1
17159636220000,1,44,85,9,58,28,1,3,1,1,1,1,1
17159636220100,18,119,157,42,96,52,3,10,1,1,1,1,1
17159636230000,1,111,162,14,146,71,10,16,1,2,1,1,1
17159636230100,1,7,11,1,111,28,2,1,1,2,1,1,1
17159636240000,1,5,8,1,88,21,1,1,1,2,1,1,1
17159636240100,1,4,5,1,118,29,1,1,1,5,1,1,1
17159636250000,1,4,5,1,114,27,1,1,1,3,1,1,1
17159636250100,1,3,5,1,89,17,1,1,1,2,1,1,1
17159636260000,1,2,3,1,59,9,1,1,1,1,1,1,1
17159636260100,1,1,1,1,62,6,1,1,1,1,1,1,1
17159636270000,1,1,2,1,13,3,1,1,1,1,1,1,1
17159636270100,2,85,127,16,94,63,8,23,1,2,1,1,1
17159636280000,1,122,177,28,173,87,24,41,1,8,2,1,1
17159636280100,1,1,1,1,60,27,7,4,1,22,3,9,3
17159636290000,1,1,1,1,10,2,1,1,1,1,1,1,1
17159636290100,7,46,68,11,38,15,1,1,1,1,1,1,1
17159636300000,27,121,175,73,90,50,4,15,1,1,1,1,1
17159636300100,1,1,2,1,11,2,1,1,1,1,1,1,1
17159636310000,1,1,1,1,5,1,1,1,1,1,1,1,1
17159636310100,1,1,1,1,5,1,1,1,1,1,1,1,1
17159636320000,5,6,15,1,6,1,1,1,1,1,4,1,1
17159636320100,93,112,158,31,55,37,4,16,1,1,1,1,1
17159636330000,53,139,191,49,113,50,3,11,1,1,1,1,1
17159636330100,1,1,1,1,97,15,1,1,1,2,1,1,1
17159636340000,1,1,1,1,10,1,1,1,1,1,1,1,1
17159636340100,38,53,82,24,15,9,1,1,1,1,1,1,1
17159636350000,53,138,185,60,95,58,5,17,1,1,1,1,1
17159636350100,1,164,173,1,217,99,18,20,1,3,1,1,1
17159636360000,1,1,1,1,201,29,1,1,1,13,1,1,1
17159636360100,1,1,1,1,11,2,1,1,1,1,1,1,1
17159636370000,9,96,142,50,70,36,3,7,1,1,1,1,1
17159636370100,21,155,180,14,133,63,8,10,1,2,1,1,1
17159636380000,47,142,173,31,97,40,2,2,1,1,1,1,1
17159636380100,35,112,149,31,79,29,1,1,1,1,1,1,1
17159636390000,1,1,1,1,22,3,1,1,1,1,1,1,1
17159636390100,19,85,129,32,52,31,3,6,1,1,1,1,1
17159636400000,1,114,157,1,200,103,37,35,1,28,2,1,1
17159636400100,1,5,27,1,162,87,57,38,1,129,7,4,1
17159636410000,1,1,1,1,105,17,1,1,1,11,1,1,1
17159636410100,1,1,1,1,11,2,1,1,1,1,1,1,1
17159636420000,5,30,36,4,30,9,1,1,1,1,1,1,1
17159636420100,94,115,163,81,44,25,2,4,1,1,1,1,1
17159636430000,86,136,185,76,76,41,3,7,1,1,1,1,1
17159636440000,1,41,80,3,67,37,4,4,1,1,1,1,1
17159636440100,1,1,1,1,22,3,1,1,1,1,1,1,1
17159636450000,1,5,7,1,10,2,1,1,1,1,1,1,1
17159636450100,48,67,103,37,34,13,1,1,1,1,1,1,1
17159636460000,117,125,156,56,50,24,1,1,1,1,1,1,1
17159636460100,76,128,170,64,62,35,3,5,1,1,1,1,1
17159636470000,47,111,161,53,65,37,3,7,1,1,1,1,1
17159636470100,40,100,149,49,58,34,2,5,1,1,1,1,1
17159636480000,34,104,154,50,64,39,4,9,1,1,1,1,1
17159636480100,99,126,168,65,45,28,1,1,1,1,1,1,1
17159636490000,112,121,156,60,47,22,1,1,1,1,1,1,1
17159636490100,1,2,2,1,41,8,1,1,1,1,1,1,1
17159636500000,1,1,1,1,19,4,1,1,1,1,1,1,1
17159636500100,1,19,70,16,34,30,7,20,1,1,1,1,1
