Timestamp, RF13, RF10, RF11, RF12, MF5, MF6, MF7, MF8, MF9, FF1, FF2, FF3, FF4

17159636180100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159636190000,2,109,1,120,1,1,1,43,114,1,1,1,1
17159636190100,1,1,1,1,1,1,1,9,130,1,4,1,11
17159636200000,1,1,1,2,1,1,1,1,3,1,1,1,1
17159636200100,1,1,1,1,1,1,4,85,202,1,8,1,30
17159636210000,1,1,1,1,1,1,1,1,2,1,1,1,1
17159636210100,1,124,1,76,1,1,1,49,111,1,1,1,1
17159636220000,1,1,1,1,1,1,1,1,2,1,1,1,1
17159636220100,30,89,1,53,1,1,1,1,18,1,1,1,1
17159636230000,1,1,1,1,1,1,4,90,253,1,5,1,33
17159636230100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636240000,1,1,1,5,1,1,1,97,185,1,2,1,7
17159636240100,1,1,1,1,1,1,1,1,3,1,1,1,1
17159636250000,9,148,1,121,1,1,1,16,90,1,1,1,1
17159636250100,1,1,1,1,1,1,1,7,151,1,11,1,37
17159636260000,1,1,1,1,1,1,1,1,2,1,1,1,1
17159636260100,1,6,1,15,1,2,3,91,162,1,1,1,3
17159636270000,1,1,1,1,1,1,1,1,3,1,1,1,1
17159636270100,4,138,1,81,1,1,1,21,97,1,1,1,1
17159636280000,21,158,1,92,1,1,1,10,76,1,1,1,1
17159636280100,2,82,1,17,1,1,1,1,14,1,1,1,1
17159636290000,1,1,1,1,1,1,1,1,10,1,1,1,1
17159636290100,1,26,1,10,1,1,1,10,49,1,1,1,1
17159636300000,3,73,1,44,1,1,1,8,56,1,1,1,1
17159636300100,2,75,1,49,1,1,1,10,62,1,1,1,1
17159636310000,1,66,1,45,1,1,1,14,66,1,1,1,1
17159636310100,1,65,1,42,1,1,1,12,61,1,1,1,1
17159636320000,1,68,1,44,1,1,1,12,60,1,1,1,1
17159636320100,1,60,1,34,1,1,1,10,54,1,1,1,1
17159636330000,1,45,1,23,1,1,1,8,48,1,1,1,1
17159636330100,1,9,1,4,1,1,1,3,35,1,1,1,1
17159636340000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636340100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159636350000,20,76,1,93,1,1,1,16,108,1,1,1,1
17159636350100,1,85,1,45,1,4,1,39,97,1,1,1,1
17159636360000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636360100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636370000,22,97,1,88,1,1,1,11,73,1,1,1,1
17159636370100,33,118,1,94,1,1,1,11,65,1,1,1,1
17159636380000,3,109,1,88,1,1,1,35,96,1,1,1,1
17159636380100,1,89,1,40,1,1,1,11,57,1,1,1,1
17159636390000,1,14,1,5,1,1,1,2,23,1,1,1,1
17159636390100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636400000,1,9,1,3,1,1,1,1,18,1,1,1,1
17159636400100,2,49,1,19,1,1,1,1,18,1,1,1,1
17159636410000,13,56,1,26,1,1,1,1,9,1,1,1,1
17159636410100,15,59,1,27,1,1,1,1,11,1,1,1,1
17159636420000,9,55,1,22,1,1,1,1,12,1,1,1,1
17159636420100,10,55,1,25,1,1,1,1,14,1,1,1,1
17159636430000,9,55,1,28,1,1,1,1,16,1,1,1,1
17159636430100,7,55,1,28,1,1,1,1,18,1,1,1,1
17159636440000,3,56,1,31,1,1,1,2,25,1,1,1,1
17159636440100,1,47,1,25,1,1,1,3,26,1,1,1,1
17159636450000,1,45,1,26,1,1,1,3,28,1,1,1,1
17159636450100,1,42,1,29,1,1,1,5,35,1,1,1,1
17159636460000,1,36,1,27,1,1,1,6,38,1,1,1,1
17159636460100,1,37,1,27,1,1,1,6,38,1,1,1,1
17159636470000,1,38,1,28,1,1,1,6,37,1,1,1,1
17159636470100,1,48,1,33,1,1,1,3,35,1,1,1,1
17159636480000,3,58,1,36,1,1,1,3,36,1,1,1,1
17159636480100,5,61,1,38,1,1,1,2,31,1,1,1,1
17159636490000,6,61,1,38,1,1,1,2,30,1,1,1,1
17159636490100,6,62,1,39,1,1,1,2,30,1,1,1,1
17159636500000,7,64,1,41,1,1,1,2,32,1,1,1,1
17159636500100,6,67,1,42,1,1,1,3,36,1,1,1,1
17159636510000,3,66,1,43,1,1,1,5,42,1,1,1,1
17159636510100,1,62,1,42,1,1,1,6,44,1,1,1,1
17159636520000,1,61,1,41,1,1,1,7,44,1,1,1,1
17159636520100,1,54,1,41,1,1,1,8,48,1,1,1,1
17159636530000,1,53,1,40,1,1,1,11,53,1,1,1,1
17159636530100,1,22,1,15,1,1,1,18,65,1,1,1,1
17159636540000,1,11,1,15,1,4,3,35,93,1,1,1,1
17159636540100,1,1,1,1,1,3,9,40,135,1,4,1,10
17159636550000,1,1,1,1,1,1,12,24,130,1,16,1,29
17159636550100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636560000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636560100,3,103,1,64,1,1,1,10,73,1,1,1,1
17159636570000,10,121,1,66,1,1,1,7,58,1,1,1,1
17159636570100,1,47,1,7,1,1,1,1,16,1,1,1,1
17159636580000,1,1,1,1,1,1,1,1,3,1,1,1,1
17159636580100,1,1,1,1,1,1,1,1,3,1,1,1,1
17159636590000,11,76,1,5,1,1,1,1,1,1,1,1,1
17159636590100,38,150,1,33,1,7,1,6,3,1,1,1,1
17159636600000,2,128,1,60,1,47,17,30,59,1,1,1,1
17159636600100,32,145,1,60,1,1,1,5,13,1,1,1,1
17159636610000,2,1,1,1,1,1,1,1,1,1,1,1,1
17159636610100,1,4,1,1,1,1,1,1,1,1,1,1,1
17159636620000,12,25,1,2,1,1,1,1,1,1,1,1,1
17159636620100,4,19,1,2,1,1,1,1,1,1,1,1,1
17159636630000,9,20,1,3,1,1,1,1,1,1,1,1,1
17159636630100,16,52,1,16,1,1,1,1,3,1,1,1,1
17159636640000,14,140,1,76,1,3,1,25,48,1,1,1,1
17159636640100,1,84,1,63,1,49,24,92,99,1,1,1,1
17159636650000,35,166,1,65,1,1,1,7,10,1,1,1,1
17159636650100,4,102,1,2,1,1,1,1,1,1,1,1,1
17159636660000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636660100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636670000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636670100,1,107,1,31,1,108,16,49,48,1,1,1,1
17159636680000,1,1,1,1,1,61,63,82,131,3,3,1,1
17159636680100,1,1,1,1,1,1,1,1,8,1,1,1,1
17159636690000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636690100,1,51,1,37,1,36,8,60,94,1,1,1,1
17159636700000,1,1,1,1,1,7,38,66,157,1,5,1,4
17159636700100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636710000,3,49,1,32,1,1,1,1,14,1,1,1,1
17159636710100,2,7,1,143,1,1,1,59,163,1,1,1,1
17159636720000,1,1,1,1,1,1,1,50,324,1,1,1,28
